Iteration;Jacobi;Gauss-Seidel
0;4.35066;2.06047
1;0.870012;0.195957
2;0.174242;0.0193552
3;0.0350212;0.00242361
4;0.00713041;0.00052514
5;0.00153052;0.00015304
6;0.000391521;4.74182e-05
7;0.000135288;1.49455e-05
8;5.74134e-05;4.75486e-06
9;2.61313e-05;1.52278e-06
10;1.21426e-05;4.90137e-07
11;5.69162e-06;1.58384e-07
12;2.68271e-06;5.13437e-08
13;1.27005e-06;1.66877e-08
14;6.03511e-07;5.43564e-09
15;2.87711e-07;1.77381e-09
16;1.37551e-07;5.79758e-10
17;6.59278e-08;
18;3.16704e-08;
19;1.52447e-08;
20;7.35155e-09;
21;3.5511e-09;
22;1.71793e-09;
23;8.32244e-10;
