Iteration;Jacobi;Gauss-Seidel
0;11.6018;4.76517
1;6.18675;1.05892
2;3.30414;0.331347
3;1.77095;0.377681
4;0.96152;0.644828
5;0.550364;1.16715
6;0.375436;2.17112
7;0.345948;4.10514
8;0.3915;7.84448
9;0.475169;15.0996
10;0.588801;29.2189
11;0.735971;56.7664
12;0.925055;110.629
13;1.16784;216.139
14;1.47985;423.139
15;1.88129;829.802
16;2.39846;1629.65
17;3.06553;3204.48
18;3.92698;6307.98
19;5.04072;12429
20;6.4822;24510.2
21;8.34977;48371
22;10.7717;95524.8
23;13.9155;188761
24;17.9999;373205
25;23.3105;738247
26;30.2208;1.46102e+06
27;39.2193;2.89265e+06
28;50.945;5.72936e+06
29;66.2347;1.1352e+07
30;86.1838;2.25002e+07
31;112.228;4.46103e+07
32;146.247;8.8473e+07
33;190.708;1.75511e+08
34;248.846;3.48266e+08
35;324.903;6.91227e+08
36;424.448;1.37224e+09
37;554.793;2.72477e+09
38;725.538;5.4115e+09
39;949.294;1.07495e+10
40;1242.63;2.13569e+10
41;1627.33;4.24386e+10
42;2132.02;8.43443e+10
43;2794.36;1.67655e+11
44;3663.87;3.33305e+11
45;4805.69;6.62717e+11
46;6305.57;1.31787e+12
47;8276.36;2.62103e+12
48;10866.6;5.21344e+12
49;14271.9;1.03712e+13
50;18750;2.06338e+13
51;24640.1;4.10563e+13
52;32389.6;8.17002e+13
53;42587.4;1.62596e+14
54;56010.4;3.23622e+14
55;73682.3;6.44179e+14
56;96952.8;1.28237e+15
57;127602;2.55304e+15
58;167977;5.08319e+15
59;221175;1.01216e+16
60;291280;2.01556e+16
61;383683;4.01398e+16
62;505498;7.99439e+16
63;666111;1.5923e+17
64;877917;3.17172e+17
65;1.15728e+06;6.31817e+17
66;1.52579e+06;1.25868e+18
67;2.01198e+06;2.50764e+18
68;2.65353e+06;4.99623e+18
69;3.50019e+06;9.95504e+18
70;4.61769e+06;1.98366e+19
71;6.09288e+06;3.9529e+19
72;8.0405e+06;7.87748e+19
73;1.06122e+07;1.56993e+20
74;1.40083e+07;3.12892e+20
75;1.84936e+07;6.23634e+20
76;2.44183e+07;1.24304e+21
77;3.22451e+07;2.47777e+21
78;4.25858e+07;4.93919e+21
79;5.62495e+07;9.8462e+21
80;7.43058e+07;1.96291e+22
81;9.81694e+07;3.91336e+22
82;1.29711e+08;7.80218e+22
83;1.71406e+08;1.55561e+23
84;2.26527e+08;3.1017e+23
85;2.99406e+08;6.18466e+23
86;3.9577e+08;1.23324e+24
87;5.23202e+08;2.4592e+24
88;6.91731e+08;4.90407e+24
89;9.14631e+08;9.77988e+24
90;1.20947e+09;1.9504e+25
91;1.59949e+09;3.88982e+25
92;2.11548e+09;7.75797e+25
93;2.79816e+09;1.54732e+26
94;3.70145e+09;3.08621e+26
95;4.89676e+09;6.15578e+26
96;6.47858e+09;1.22787e+27
97;8.57207e+09;2.44927e+27
98;1.13429e+10;4.88574e+27
99;1.50106e+10;9.74624e+27
